id,bid_month,system_time,real_lowest_price_time,real_lowest_price,real_lowest_price_from,real_lowest_price_to,bid_date,alert_price,avg_price,bid_people_num,bid_percent,license_num,lowest_price,lowest_price_time,lowest_price_time_order
748,201606,11:29:40,11:29:19,84000,83700,84300,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
749,201606,11:29:41,11:29:17,84000,83700,84300,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
750,201606,11:29:42,11:29:13,84000,83700,84300,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
751,201606,11:29:43,11:29:41,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
752,201606,11:29:44,11:29:39,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
753,201606,11:29:45,11:29:36,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
754,201606,11:29:46,11:29:35,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
755,201606,11:29:47,11:29:33,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
756,201606,11:29:48,11:29:31,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
757,201606,11:29:49,11:29:29,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
758,201606,11:29:50,11:29:27,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
759,201606,11:29:51,11:29:26,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
760,201606,11:29:52,11:29:23,84100,83800,84400,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
761,201606,11:29:53,11:29:51,84200,83900,84500,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
762,201606,11:29:54,11:29:42,84200,83900,84500,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
763,201606,11:29:55,11:29:36,84200,83900,84500,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
764,201606,11:29:56,11:29:51,84300,84000,84600,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
765,201606,11:29:57,11:29:47,84300,84000,84600,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
766,201606,11:29:58,11:29:45,84300,84000,84600,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
767,201606,11:29:59,11:29:37,84300,84000,84600,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
768,201606,11:30:00,11:29:54,84400,84100,84700,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
610,201605,11:29:30,11:29:17,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
611,201605,11:29:31,11:29:16,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
612,201605,11:29:32,11:29:15,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
613,201605,11:29:33,11:29:14,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
614,201605,11:29:34,11:29:14,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
615,201605,11:29:35,11:29:13,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
616,201605,11:29:36,11:29:12,84000,83700,84300,2016-05-21,82800,85058,277889,4.17%,11598,85000,11:29:58,696
